country_code,country_name,time_period,unit_type,unit_value,unit_of_measure
COL,Colombia,2021,Life expectancy,76.8,Years
COL,Colombia,2018,Life expectancy,76.5,Years
AUS,Australia,2018,Life expectancy,82.8,Years
AUS,Australia,2019,Life expectancy,82.9,Years
AUT,Austria,2018,Life expectancy,81.8,Years
CZE,Czechia,2019,Life expectancy,79.3,Years
DNK,Denmark,2020,Life expectancy,81.6,Years
BEL,Belgium,2021,Life expectancy,81.9,Years
BEL,Belgium,2022,Life expectancy,81.8,Years
BEL,Belgium,2018,Life expectancy,81.7,Years
BEL,Belgium,2019,Life expectancy,82.1,Years
CAN,Canada,2021,Life expectancy,81.63,Years
CAN,Canada,2022,Life expectancy,81.34,Years
CAN,Canada,2018,Life expectancy,81.91,Years
CAN,Canada,2019,Life expectancy,82.29,Years
CHL,Chile,2020,Life expectancy,80.8,Years
CHL,Chile,2021,Life expectancy,81,Years
AUS,Australia,2021,Life expectancy,83.3,Years
AUS,Australia,2022,Life expectancy,83.2,Years
CRI,Costa Rica,2022,Life expectancy,80.8868,Years
CRI,Costa Rica,2023,Life expectancy,81,Years
CRI,Costa Rica,2018,Life expectancy,80.33305,Years
CRI,Costa Rica,2019,Life expectancy,80.5,Years
CRI,Costa Rica,2020,Life expectancy,80.615,Years
CZE,Czechia,2021,Life expectancy,77.2,Years
CZE,Czechia,2022,Life expectancy,79,Years
CZE,Czechia,2020,Life expectancy,78.2,Years
CZE,Czechia,2018,Life expectancy,79.1,Years
DNK,Denmark,2021,Life expectancy,81.5,Years
DNK,Denmark,2022,Life expectancy,81.3,Years
DNK,Denmark,2018,Life expectancy,81,Years
DNK,Denmark,2019,Life expectancy,81.5,Years
EST,Estonia,2021,Life expectancy,77.2,Years
EST,Estonia,2022,Life expectancy,78.1,Years
EST,Estonia,2018,Life expectancy,78.5,Years
EST,Estonia,2019,Life expectancy,79,Years
AUS,Australia,2020,Life expectancy,83.2,Years
AUT,Austria,2022,Life expectancy,81.4,Years
BEL,Belgium,2020,Life expectancy,80.8,Years
CAN,Canada,2020,Life expectancy,81.71,Years
CHL,Chile,2019,Life expectancy,80.6,Years
COL,Colombia,2019,Life expectancy,76.6,Years
CRI,Costa Rica,2021,Life expectancy,80.75145,Years
AUT,Austria,2019,Life expectancy,82,Years
AUT,Austria,2020,Life expectancy,81.3,Years
AUT,Austria,2021,Life expectancy,81.3,Years
EST,Estonia,2020,Life expectancy,78.9,Years
CHL,Chile,2018,Life expectancy,80.4,Years
COL,Colombia,2020,Life expectancy,76.7,Years
